hex_id,land_use,road,farmer_suitable,farmer_restricted,citizen_suitable,citizen_restricted,industry_suitable,industry_restricted,env_suitable,env_restricted
A6,arrable_land,false,false,false,false,false,false,false,false,false
B6,arrable_land,false,false,true,false,false,false,false,false,false
C5,arrable_land,false,false,true,false,false,false,false,false,false
C6,arrable_land,true,false,true,false,false,true,false,false,false
D4,arrable_land,false,false,false,false,false,false,false,false,false
D5,productive_agriculture,false,false,false,false,false,false,false,false,false
D6,sealed,true,true,false,true,false,false,false,true,false
E1,arrable_land,false,false,false,false,false,true,false,false,false
E2,arrable_land,true,false,false,false,true,true,false,false,false
E3,settlement,true,false,false,false,true,false,false,false,false
E4,productive_agriculture,true,false,false,false,true,true,false,false,false
E5,productive_agriculture,true,false,false,false,false,true,false,false,false
E6,settlement,false,false,false,false,true,false,false,false,false
F1,sealed,true,true,false,true,false,false,false,true,false
F2,settlement,true,true,false,false,true,true,false,true,false
F3,productive_agriculture,false,false,false,false,false,false,false,false,false
F4,productive_agriculture,false,false,false,false,true,true,false,false,false
F5,productive_agriculture,true,false,false,false,true,true,false,false,false
F6,settlement,false,false,false,false,false,false,false,false,false
F7,forest,false,false,false,false,true,false,false,false,false
G1,grassland,false,false,false,false,false,false,false,false,true
G2,grassland,false,false,false,false,false,false,false,false,true
G3,forest,false,false,false,false,false,false,false,false,true
G4,arrable_land,true,false,false,false,true,true,false,false,false
G5,arrable_land,false,false,true,false,false,false,false,false,false
G6,grassland,false,false,false,true,false,false,false,false,false
H1,forest,false,false,false,true,false,false,false,false,false
H2,forest,false,false,false,false,false,false,false,false,true
H3,forest,false,false,false,false,false,false,false,false,true
H4,sealed,true,true,false,true,false,false,false,true,false
H5,arrable_land,false,false,true,false,false,false,false,false,false
H6,forest,false,false,false,true,false,true,false,false,true
H7,grassland,false,false,false,false,false,true,false,false,false
I2,sealed,true,true,false,true,false,false,false,true,false
I3,settlement,true,true,false,false,true,true,false,true,false
I4,sealed,true,true,false,true,false,false,false,true,false
I5,settlement,false,false,false,false,true,false,false,false,false
I6,forest,false,false,false,false,false,true,false,false,false
J3,grassland,false,false,false,true,true,true,false,false,false
J4,arrable_land,true,false,false,false,true,true,false,false,false
J5,settlement,false,false,false,false,true,false,false,false,false
J6,grassland,true,true,false,false,false,false,false,false,false
K3,productive_agriculture,false,false,false,false,true,false,false,false,false
K4,settlement,true,true,false,false,true,true,false,true,false
K5,grassland,true,false,false,false,false,false,false,false,false
L3,forest,false,false,false,true,false,false,false,false,false
L4,forest,false,false,false,false,false,false,false,false,false
L5,forest,false,false,false,false,false,false,false,false,false
M3,forest,false,false,false,false,false,false,false,false,false
M4,forest,false,false,false,false,false,false,false,false,false
